text,label
Watching the Nvidia keynote - on a CRT. 😏 https://t.co/kvmvM30w2j,1
"When I was interviewing for churches in mid-2018, I was asked by search committees, “What do you believe is the biggest issue the church is/will face?”

My reply was, “CRT (or equivalent terminology back in ‘18) &amp; the social justice gospel.” I was looked at as crazy. Huh...",1
"I would love to be able to sell one of these fairy home candles while im asleep 😍
link down below 💕
https://t.co/Rq7sQdvYwO",0
"AG Garland faces scrutiny over ties to Zuckerberg-backed ed consultancy amid critical race theory battles

https://t.co/4FxSQianHI",1
"Call me a cynic, but I suspect the main reason critical race theory is trending today is that the Tories are attempting to whip up anti-woke American culture war BS to avoid scrutiny of their terrible records on everything else.",1
"We knew, but now we really know.  https://t.co/ZeqbU6SxVE via @slate",1
"Segregation is back thanks to CRT and woke politics.

This is wrong. This is evil. This is racist. 
https://t.co/Kl9uJPcVcU",1
"Tag your bestie below👇
https://t.co/cAqWkqssf1
#strangerthingsmerch #friendsdontlie #merchgame https://t.co/rrZp4zBAhc",0
"Conservatives are already freaking out that Biden will reinstate critical race theory-based trainings. Yes, white people, watch out, we're actually going to teach the secrets to your obsession with supremacy and you're not going to like the result: fairness.",1
"I see from tweets here that politicians in the Dail are putting on some kind of crowd pleasing commotion relating to Seamus Woulfe's appointment to the Sprm Crt. 

What the rotten cowardly frauds really should be doing is undoing their own dirty work by sacking him.",0
"I thought Critical Race Theory was F1, but i was wrong",1
"Black Mom Torches Critical Race Theory: It’s ‘Racist,’ It’s ‘Teaching Hate,’ Will Destroy America https://t.co/iEuWTNCcSa",1
"This IS NOT Dr. Martin Luther King's dream, it is a nightmare. Colorado mother calls for end to critical race theory 'nightmare,' rebukes local school board https://t.co/tQ5IT5VXdU #FoxNews",1
"RT if you agree: @realDonaldTrump should use @MaryGrabar's ""Debunking Howard Zinn"" in his #1776Commission for American patriotism in education, countering the #Marxist critical race theory of @nytimes #1619Project.
@PJMedia_com 
https://t.co/uAO1z0PYN7",1
Guess who's laptop is about to get it's first sticker?!?! Big thanks to the  lovely ladies of the @mcwhothepodcast for the stickers and also for being wonderful humans 💞 https://t.co/wpm5o34s3c,0
Andrew Sullivan: I’m a critic of critical race theory so I’ve been shown the door https://t.co/16tboJth5N,1
"Right's cynical attack on ""critical race theory"": Old racist poison in a new bottle https://t.co/81vlnZjVyl",1
"The ethnic wojaks are similar to Critical Race Theory in that they were nominally invented to expand inclusiveness, but of course people immediately discovered what they were actually useful for (doing ultra-racism)",1
"The modern era has disconnected us from our cultural and intellectual heritage, leaving us vulnerable to ideology. https://t.co/syk5H2CWXv",1
I don’t care if you’re defending it or criticizing it-stop centering while people in your discussions of Critical Race Theory,1
A word or two on Critical Race Theory https://t.co/z9Yvd4Cr8o,0
"#Monkey #Cuddle #Midnightblue , #Minky #Fabric, #Shannon #CuddleMinky, Cut to Order,  #Supersoft #QuiltBack #Sewing #Quilting  Free Domestic shipping on orders over $35  https://t.co/0Ht79GkM0h https://t.co/m7jlYBbxcr",0
"Lawsuits over bans on teaching critical race theory are coming – here's what won't work, and what might: New state laws in the US banning teaching about systemic racism raise the question: Does the Constitution protect public school teachers' right t.. https://t.co/eVc11SfiI8",1
"These both Black diamonds of #TamilCinema
nailed &amp; rocked the world with distinctive speeches!

R E S P E C T  🙏 T H A L A P A T H Y 🙏 V J S 

@actorvijay @VijaySethuOffl @Dir_Lokesh @XBFilmCreators 

#MasterAudioLaunch #Master #Thalapathy #VijaySethupathi #CRT https://t.co/fGOfg2Ap3X",1
"🌊❤️⚓️ Welcome Pirates ⚓️❤️🌊
#sailing #sailor #sealovers #ocean #travel #coast #seaside #beachlife #beach #VisitSpain  #Spain #España  #CostaBlanca #playa  #mediterranean  #mediterraneansea  #Mediterráneo #blue #azul  #privatedock
https://t.co/dcgyuF7Eqj https://t.co/z3dYOT9gqM",0
Actually really enjoying this exam on black consciousness and critical race theory . In terms of the law we have a long way to go till it’s ‘equal for all’ .,1
Critical Race Theory is NOT unAmerican. Examining what it means to be American through the lived experiences of others is one of the most American things you can do.,1
"Just found this lovely company on Etsy that makes memory candles, started during lockdown to cope with her Mum's death. A wonderful gift for when you can't find the words. https://t.co/GajzdBP1pJ",0
"This is a petition that a group of concerned LU parents have drafted, asking the LU Board to release a statement on Biblical justice--as opposed to the social justice theory (critical race theory) of BLM which divides &amp; does not reconcile. https://t.co/AgsjGkwS7c via @Change",1
Who had “put body cams on teachers so they don’t teach critical race theory” in the culture war betting pool? https://t.co/1AlPh1KAnk,1
"Little owl Keyring just added to my Etsy shop 

https://t.co/UClRUV1elC

#etsyshop #shopsmall #ChristmasIsComing #giftideas #gift #Owl #handmade #SmallBusinessSaturday #SmallBizSatUK https://t.co/MTdl2YzWmk",0
"they all light up when i fall apart, on my CRT",0
"RT @AACTE: What is Critical Race Theory? Why is it important to you? How can you support anti-racism in education? Get the answers &amp; more at AACTE's Town Hall on Critical Race Theory, November 19 at 3:00pm ET. Hear from education experts on the issues. R… https://t.co/xQhb7y8ro1",1
"Critical Race Theory will keep the Donald Trumps of the world in power, stop it before a race war is declared",1
A odd little #diorama of a #japanese #showa era livingroom that includes a working TV. It's not a real #CRT it's an LCD with a working analogue tuner. It was made by @tartsPR for their #ザ昭和シリーズ line.  #昭和レトロ #trinitron #retrogaming #pcengine #japan #pvm #pvm #sony https://t.co/0fRwAwVWDG,0
"Every time but it's ""tHe RiGhT dOeSnT uNdErStAnD CRT"" https://t.co/A38EwpPrLg",1
Sandia Labs Goes Nuclear On Employee Who Sparked Internal Revolt Over Critical Race Theory | Zero Hedge https://t.co/oSYZCL3qK5,1
I've just posted a new blog: Former Education Sec. DeVos blasts Biden admin's 'many ties' to 'twisted and warped' critical race theory https://t.co/UepK088sfa,1
The ineffable magic of @TCSEdSystem - sharing learning across our colleges &amp; universities. Honored to introduce inaugural TCS Talks speaker Prof. Anthony Paul Farley to discuss Critical Race Theory as Civic Responsibility.  Thank you @CollegesOfLaw &amp; @EmilyKaremTCS for launching!,1
#Fall Face Mask - #Sunflowers -Yellow Flowers - Black White Gingham - Fall #Winter - Cotton 3 Layer - Fitted #Facemask Handmade USA https://t.co/JLMBVRcbo4 #etsy #etsyshop #EtsySeller #Halloween #Thanksgiving #fallfashion #giftideas #secretsanta https://t.co/KzKcyF0wKt,0
"100% natural Hair Growth Oil to maintain and strengthen hair follicles to promote healthy hair growth.

https://t.co/rwfd3I1sLS",0
‘A Petulant And Childish Outburst’: MSNBC’s Joy Reid Goes On Tirade Against Anti-CRT Guest https://t.co/j1PAyNjXat https://t.co/M803KUrGWh,1
Juneteenth is now a federal Holiday but states are trying to ban CRT?!? 🤔🤔🤔,1
"Jody @Smith_Surge , you are a brave American &amp; I am with you 100%. Mao's Cultural Revolution is here, #CRT is just a tool. Eventually, Communists will destroy us all if we don't fight back &amp; speak up. I have seen this before in my native country China: https://t.co/HFv3Tw1qck",1
"I agree with @CondoleezzaRice and her takes on race and I respect her experiences, but CRT is not intended to make white people feel bad.  @WhoopiGoldberg is correct it’s understanding history so we don’t repeat it. 
#theview #CRT",1
Critical race theory is teaching America hate each other https://t.co/cXtsYBszjE,1
"Democrat Views:

BLM = Good
Segregation = Good
Abortion = Good
Vaxx/Masks = Good
Prostitution = Good
Pedophile = Good
Non-Binary = Good
Burn America = Good
CRT = Good
God = Bad
Conservatives = Bad
Questions = Bad
Use Oil = Bad
America First = Bad
America Poor = Good

FJB | FDP",1
Test Sidas Chaussons Thermo CRT Slim 2020 - https://t.co/rhmlm5ABlC https://t.co/bl1E3oMIUy,0
Freddie Mac Energizes GSE CRT Market with Latest STACR Offering https://t.co/9LzAyJgYCd,0
Thinking Critically About Critical Race Theory https://t.co/NZuFTLor6W,0
"ITS THE WEEKEND! HEADED TO LUNCH
🚚📍11-2PM in THOUSAND OAKS at Woodcrest Preschool Open House 107 Teardrop Crt
.
.
Fun day for the family free RSVP! https://t.co/8EpPEnrKrz",0
Media’s misleading portrayal of the fight over critical race theory https://t.co/OkxGcHHtxL via @AEI,1
"War preparation for the military?  President Biden administration’s number one goal is to institute Critical Race Theory in all government institutions, and schools.  Our society has become color blind and needs help!",1
All of the TRAs who subscribe to critical race theory should apply the same thought process to sex and misogyny. Their sexism would be laid bare.,1
Byron Donalds says critical race theory wants to 'trap' people by 'the scars of our nation' https://t.co/dbUx0Jgh44 aa,1
"person: *has a CRT in their room*
me: who’s playing melee",0
".
Critical Race Theory:

The newest Conservative strategy to make 
racism justifiably acceptable.
.",1
"Serving his Vegas guests has gotten Freddy asking a lot of questions 👨‍🍳
We want to know what your guilty pleasure is 😋😋 ➡ https://t.co/J8FnQzEtwV https://t.co/8xJtw95BUu",0
The worst 'tin foil hat' conspiracy theory in human history is found in the hearts of those who embrace and promote CRT/I as a 'useful tool' in understanding the world. Just saying...,1
"#Cloth #Mask #FaceMask #CottonMask Triple Layers #navy #polkadot #Floral #washable mask
https://t.co/n9ynNT6iTW @Etsy https://t.co/kkQTNCFEJb",0
Thomas Suddes: Ohio Republicans stoking base with flames that will burn history #SmartNews  https://t.co/A2EqdgBlKp,1
"NEW on #LockdownTV

@freddiesayers speaks to @ConceptualJames, author of 'Cynical Theories', about Critical Race Theory: what it means, where it came from, and why it poses a threat to liberal values. Don't miss 👇 

https://t.co/4NBtyz91az",1
Enjoying some CRT @ThoughtSlime https://t.co/B7jALXFeFq,0
"Shocking no one. 
The Guardian: Trump orders crackdown on federal antiracism training, calling it 'anti-American'.
https://t.co/8ukyBqnbNq",1
"""Florida bans its schools from teaching critical race theory""  https://t.co/UrvTnLRPQb",1
"""In all my years of teaching I have never seen a pedagogy so much promoted and practiced so denied by its adherents."" 
What concerns me about Critical Race Theory https://t.co/kPOpvSTZFN",1
Arizona Patriot Party head opposing CRT arrested outside school board meeting https://t.co/5XHrFHkkAF via @BIZPACReview,1
Against Wokeness | City Journal https://t.co/WxYFzF4YmT,1
"President Trump Has Attacked Critical Race Theory. Here's What to Know About the Intellectual Movement https://t.co/6rWvqTMtM1 

You can't cure the disease if you deny the existence of the symptoms. #Truth #racialjustice",1
Only 10 left in stock!!! Don’t be one of the ones who miss out on our awesome collab with @GCWrestling_!! Sweet heat and a rush of bourbon flavor! #SnackSeason #GCW #HotSauce https://t.co/hodDa2C8RA https://t.co/t6KdeXkBXa,0
Comorbidities may not prevent treating Stage III NSCLC with CRT with curative intent. Think physiologic age instead of chronologic age. Watch our experts discuss the best ways to treat lung cancer in elderly and PS 2 patients.,0
"Spent some time video capturing Bally BASIC games last night. Hard to see here, but the visual differences in the color between a CRT and the upscaler are dramatic on this machine. The Bally has oversaturated color that really only is obvious when doing this! https://t.co/UTTRa4IrqF",0
"I hope more leave

https://t.co/rfzqjwlCdy",1
"Absolutely true. There are no magic bullets: the Afghanistan withdrawal (perceived to be much messier the it was), gerrymandering, and Repulsive cooption of local issues by CRT lying, all bode ill.

Democrats Shouldn’t Panic. They Should Go Into Shock. https://t.co/zbpsmMFAxw",1
"#Monkey #Midnight  #Minky #Fabric, #Shannon #CuddleMinky, Cut to Order,  #Supersoft #QuiltBack #Sewing #Quilting https://t.co/d9hAZuoBUP https://t.co/zgl9IrJHhK",0
"But, CRT is the problem?

https://t.co/4bbBz5gyJn",0
Fox’s anti-“critical race theory” parents are also GOP activists https://t.co/cXku8vchLk,1
"The left then: ""You can't just call creationism science and pretend like it's legitimate!""

The left now: ""Critical race theory is legitimate! We're calling it science!""",1
"On Friday, 20 Aug at 2:30 PM the White House called a lid...

That means NO NEWS coming out of the White House.

While Afghanistan is overrun, gas prices are at a 7-year high, &amp; critical race theory is being taught in schools, Joe decided to call it a day at 2:30!

-Tina Ramirez",1
"Had to rearrange the Dreamcast setup so i could access both @arcade_1up cabs

#ProTip a 5 Gal Bucket works perfect to sit on to play the #Arcade1UP cabs
#retrogaming #MortalKombat #FinalFight #mvc2 #KCchiefs #sega #dreamcast #crt #videogames https://t.co/K10jE9ojNy",0
Right-wing group brags of stopping Virginia school board meeting on transgender rights || By Oliver Willis https://t.co/rkDaNbHw4d,0
politicians more worried about critical race theory instead of the fact that 95% of the public doesn’t even have adequate critical thinking skills,1
Denim Blue Soap Bag Eco Friendly Cotton Bead Drawstring Soap Saver Crochet Cozy Travel Handmade in USA https://t.co/7I4Ll7phSM #skincare,0
"""It appears that the @indgop are Marxist ideologues who are determined to push Critical Race Theory down the throats of unsuspecting Hoosier schoolchildren."" 

Not wrong there. The INGOP's partisanship is extreme and bad for Indiana's future. https://t.co/X7UbX8423n",1
"In what HS class would CRT be taught?

Or should I ask in what class it would not be taught?",1
"Bad News: Teachers Are Teaching CRT. Good News: They're Teaching It About As Well As They Teach Math

 https://t.co/tOYziJHS6L",1
"Watching them @InternetTodayTV boys, @rickyftw and @EliotETC , on my Mini CRT. Surprised the Xbox 360 YouTube app still works as well as it does https://t.co/wXCMABOnKA",0
Excellent writing from Kelly Hamren: https://t.co/zZ30kiixPi,0
"Alarm (commercial/industrial) [Scarborough]
Cowdray Crt @ Kennedy Road
Dispatched: 06/01/20 @ 12:08 EST
[Stn: 244] Aerial-113 DistChief-24 Pumper-242 Pumper-245 Rescue-243
General Area:",0
Free CRT TV https://t.co/7K7HJ6G22M https://t.co/LvTF2NWTFN #BostonCurbAlert #Boston #Free,0
Trump Shuts Down CDC’s ‘Critical Race Theory’ Seminars After CDC Disobeys Order https://t.co/7Rmuuw5Hkz https://t.co/z0VAwcGalm,1
"📽 Virtual tour &amp; drone video for our latest listing! Check out our IGTV for the full video!
.⁠
Welcome To Suite 202 Located At 80 Palace Pier Crt. In Mimico - Humber Bay Shores. This Large Upgraded 2 Bed 2 Bath 1145… https://t.co/A7O8K9A7xK",0
"Following up on our last reading group focus of teaching #RaceB4Race, our November PDS will be a hands-on workshop to develop materials for integrating critical race theory into your classroom - be it a MedRen class or a composition class!
#ShakeRace #MedievalTwitter",1
so republicans just kinda proved Critical Race Theory huh?,1
"Bank of America, Lowe's sponsored CRT training urging Whites to 'cede power to people of color' https://t.co/v6wYnUUoMv #FoxBusiness",1
"Democrats' biggest lie is that CRT is a lie - but parents won't be gaslighted, writes MEGHAN McCAIN - https://t.co/lc1Ch2Wu3z",1
CRT TikTok Is Full Of Cringey White Saviours | Critical Race Theory https://t.co/0PnbqosM0T via @YouTube,1
"Check out our #SEVENTEEN #OdeToYou photocards here: https://t.co/2YKDvqQVtA 🔥
- 🌩️
#세븐틴 #An_Ode  #SEVENTEENOnlineConcert https://t.co/cw7VV3QMRT",0
Australia’s absurd moral panic around critical race theory aims to silence demands for justice | Jason Wilson https://t.co/mme21olOdp,1
Biden administration backpeddles on promoting critical race theory https://t.co/DggQsyPEBP via @YouTube,1
"DeSantis unveils 'Stop WOKE Act' in effort to ban critical race theory from schools, workplaces https://t.co/VNLVyRMnrB via @RebelNewsOnline",1
Put up a 36:06 on a CRT run tonight! Doesnt count. But at least it proves to me I can run Z1!,0
"# $language = ""VBScript""
# $Interface = ""1.0""
Sub Main
  crt.Session.ConnectInTab ""/SSH2 /PASSWORD myPasswod myUser@#IPADDR"",True
  
  If crt.Session.Connected Then
    crt.Session.sendKeys(""~"")
    crt.Sleep 5000
    crt.Session.Disconnect
  End If

End Sub",0
Kayleigh McEnany Sounds OFF On Don Lemon After his Shameful CRT Rant https://t.co/6NngAC01Hq via @YouTube,1
"Gutfeld on critical race theory…

Watch
https://t.co/3S87kFxDeW",1
Idk why but it is so funny to me that some people think critical race theory is like... a bad thing and a threat to society but don’t think racism or the rise of white supremacy is? Something isn’t adding up,1
"You know, I'd actually love to hear Joe define critical race theory, without any prompting from his staff.",1
"Alarm (highrise Residential) [Scarborough]
Tuxedo Crt @ Markham Road
Dispatched: 14/10/20 @ 21:39 EDT
[Stn: 231] Aerial-231 DistChief-23 Pumper-232 Pumper-234 Rescue-243
General Area:",0
Commack Public Schools Riven by Rage about CRT https://t.co/ael43sgqJT via @dianeravitch,1
"I am 100% against Critical Race Theory being taught in our schools.

Does that make ME a racist?? https://t.co/IuZSvojQ8i",1
"Fire (highrise Residential North) [North York]
(Goldfinch Crt @ Finch Avenue West)
Dispatched: 08/05/20 @ 20:18 EDT
[Stn: 112] DistChief-11 High-Rise-114 Pumper-114 Pumper-141 Pumper-142 Rescue-112 Tower-114
General Area:",0
"“Sowing discord among brothers” is very much what the radical left does and what’s part of their wicked agenda. Dividing people by race, gender, class. CRT plays a big part in this. Black vs. White. “Oppressed” vs. “Oppressors”. https://t.co/qGqUYCxMHz",1
take me back to 1997 so I can watch this on a crt tv,0
"RE2/RE3/FF7R all hit me in the gut with late 80's/early 90's b-movie chic. It's a combo of dingy cityscapes, crt monitors and hi-tech underground laboratories. A Parasite Eve remake would complete me.",0
"Is this a #freespeech issue, @EpochTimes?

CDC’s Critical Race Theory Training Violating Trump’s Ban Canceled After Whistle Blown 

https://t.co/Zk9eaneGNU",1
"Any program which excludes a child based on their ethnicity or skin color is unnacceptably racist. This type of incident can traumatize a child for life and the teachers should be held legally responsible. 
https://t.co/T0RnuxlyIG",1
Armchair Travel in France with Robert Louis Stevenson https://t.co/u3ljOZMqM5 @francetoday #welovememoirs @provencetourisme @CRT_RegionSud @rlsmuseum https://t.co/CjYGWnpS87,0
Scented Candles | Hand https://t.co/iBlFJEUk6s via @EtsySocial #EtsySocial https://t.co/uYwtdUkEMR,0
Excited to share the latest addition to my #etsy shop: Natural Emerald Gem Quality Terminated Crystal. Emerald Crystal. 5.60 Crt. 1 Gram. https://t.co/tl0VTQyCZ5 #green #terminated #facetrough #cleanrough #greenfacetrough #emeraldfacetrough #emeraldcrystal #greencrysta https://t.co/8m56tUkO6H,0
"@jacqueilo-Here it is🤗Is Critical Race Theory Taught in K-12 Schools? The NEA Says Yes, and That It Should Be. - https://t.co/39ESYZ0TOy https://t.co/AcbZxSrIZV",1
